"","MONTH","OP_CARRIER","ORIGIN","DEP_DELAY"
"658",1,"WN","PDX",1
"659",1,"WN","PDX",-2
"660",1,"WN","PDX",2
"661",1,"WN","PDX",3
"662",1,"WN","PDX",-2
"663",1,"WN","PDX",0
"664",1,"WN","PDX",-3
"665",1,"WN","PDX",-6
"666",1,"WN","PDX",-9
"667",1,"WN","PDX",25
"668",1,"WN","PDX",-7
"669",1,"WN","PDX",-4
"670",1,"WN","PDX",15
"671",1,"WN","PDX",3
"672",1,"WN","PDX",-5
"673",1,"WN","PDX",0
"674",1,"WN","PDX",7
"675",1,"WN","PDX",-4
"676",1,"WN","PDX",41
"677",1,"WN","PDX",9
"678",1,"WN","PDX",0
"679",1,"WN","PDX",-1
"680",1,"WN","PDX",108
"681",1,"WN","PDX",0
"682",1,"WN","PDX",-3
"683",1,"WN","PDX",-2
"684",1,"WN","PDX",18
"685",1,"WN","PDX",-3
"686",1,"WN","PDX",-6
"687",1,"WN","PDX",32
"688",1,"WN","PDX",-4
"689",1,"WN","PDX",20
"690",1,"WN","PDX",-6
"691",1,"WN","PDX",-2
"692",1,"WN","PDX",2
"693",1,"WN","PDX",-1
"694",1,"WN","PDX",-3
"695",1,"WN","PDX",-5
"696",1,"WN","PDX",-3
"697",1,"WN","PDX",-6
"698",1,"WN","PDX",-5
"699",1,"WN","PDX",-7
"700",1,"WN","PDX",-5
"701",1,"WN","PDX",-2
"702",1,"WN","PDX",7
"703",1,"WN","PDX",-6
"704",1,"WN","PDX",-1
"705",1,"WN","PDX",7
"706",1,"WN","PDX",-4
"707",1,"WN","PDX",-3
"708",1,"WN","PDX",39
"709",1,"WN","PDX",-5
"710",1,"WN","PDX",-4
"711",1,"WN","PDX",-3
"712",1,"WN","PDX",-6
"713",1,"WN","PDX",-2
"714",1,"WN","PDX",4
"715",1,"WN","PDX",-5
"716",1,"WN","PDX",5
"717",1,"WN","PDX",-3
"718",1,"WN","PDX",-1
"719",1,"WN","PDX",-5
"720",1,"WN","PDX",-7
"721",1,"WN","PDX",12
"722",1,"WN","PDX",0
"723",1,"WN","PDX",2
"724",1,"WN","PDX",6
"725",1,"WN","PDX",15
"726",1,"WN","PDX",-5
"727",1,"WN","PDX",-8
"728",1,"WN","PDX",-5
"729",1,"WN","PDX",-7
"730",1,"WN","PDX",-5
"731",1,"WN","PDX",-7
"732",1,"WN","PDX",-3
"733",1,"WN","PDX",-8
"734",1,"WN","PDX",2
"735",1,"WN","PDX",-4
"736",1,"WN","PDX",-9
"737",1,"WN","PDX",0
"738",1,"WN","PDX",-7
"739",1,"WN","PDX",2
"740",1,"WN","PDX",-5
"741",1,"WN","PDX",-9
"742",1,"WN","PDX",-3
"743",1,"WN","PDX",-2
"744",1,"WN","PDX",-2
"745",1,"WN","PDX",-2
"746",1,"WN","PDX",0
"747",1,"WN","PDX",0
"748",1,"WN","PDX",-1
"749",1,"WN","PDX",11
"750",1,"WN","PDX",2
"751",1,"WN","PDX",0
"752",1,"WN","PDX",2
"753",1,"WN","PDX",0
"754",1,"WN","PDX",-3
"755",1,"WN","PDX",8
"756",1,"WN","PDX",-4
"757",1,"WN","PDX",-8
"758",1,"WN","PDX",-1
"759",1,"WN","PDX",-2
"760",1,"WN","PDX",-4
"761",1,"WN","PDX",3
"762",1,"WN","PDX",-3
"763",1,"WN","PDX",-4
"764",1,"WN","PDX",31
"765",1,"WN","PDX",-6
"766",1,"WN","PDX",-2
"767",1,"WN","PDX",-6
"768",1,"WN","PDX",11
"769",1,"WN","PDX",77
"770",1,"WN","PDX",-7
"771",1,"WN","PDX",0
"772",1,"WN","PDX",-4
"773",1,"WN","PDX",2
"774",1,"WN","PDX",3
"775",1,"WN","PDX",-3
"776",1,"WN","PDX",-4
"777",1,"WN","PDX",2
"778",1,"WN","PDX",0
"779",1,"WN","PDX",0
"780",1,"WN","PDX",-1
"781",1,"WN","PDX",-2
"782",1,"WN","PDX",-7
"783",1,"WN","PDX",-3
"784",1,"WN","PDX",10
"785",1,"WN","PDX",-2
"786",1,"WN","PDX",-3
"787",1,"WN","PDX",-5
"788",1,"WN","PDX",0
"789",1,"WN","PDX",-5
"790",1,"WN","PDX",1
"791",1,"WN","PDX",-1
"792",1,"WN","PDX",-6
"793",1,"WN","PDX",-4
"794",1,"WN","PDX",-2
"795",1,"WN","PDX",0
"796",1,"WN","PDX",4
"797",1,"WN","PDX",23
"798",1,"WN","PDX",2
"799",1,"WN","PDX",29
"800",1,"WN","PDX",52
"801",1,"WN","PDX",-3
"802",1,"WN","PDX",12
"803",1,"WN","PDX",34
"804",1,"WN","PDX",7
"805",1,"WN","PDX",-5
"806",1,"WN","PDX",-4
"807",1,"WN","PDX",13
"808",1,"WN","PDX",7
"809",1,"WN","PDX",-2
"810",1,"WN","PDX",10
"811",1,"WN","PDX",0
"812",1,"WN","PDX",2
"813",1,"WN","PDX",16
"814",1,"WN","PDX",6
"815",1,"WN","PDX",15
"816",1,"WN","PDX",42
"817",1,"WN","PDX",-2
"818",1,"WN","PDX",10
"819",1,"WN","PDX",13
"820",1,"WN","PDX",0
"821",1,"WN","PDX",-3
"822",1,"WN","PDX",-2
"823",1,"WN","PDX",11
"824",1,"WN","PDX",-1
"825",1,"WN","PDX",25
"826",1,"WN","PDX",20
"827",1,"WN","PDX",0
"828",1,"WN","PDX",9
"829",1,"WN","PDX",-5
"830",1,"WN","PDX",35
"831",1,"WN","PDX",3
"832",1,"WN","PDX",6
"833",1,"WN","PDX",2
"834",1,"WN","PDX",NA
"835",1,"WN","PDX",17
"836",1,"WN","PDX",2
"837",1,"WN","PDX",-4
"838",1,"WN","PDX",18
"839",1,"WN","PDX",-1
"840",1,"WN","PDX",-2
"841",1,"WN","PDX",0
"842",1,"WN","PDX",NA
"843",1,"WN","PDX",15
"844",1,"WN","PDX",-6
"845",1,"WN","PDX",-3
"846",1,"WN","PDX",69
